,Name,Price,Location,Year,Mileage,Fuel_Type,Engine_Capacity,Transmission
19929,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
19930,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
19931,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
19932,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
19933,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
19934,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
19935,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
19936,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
19937,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
19938,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
19939,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
19940,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
19941,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
19942,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
19943,Daihatsu Mira  2021 X SA lll for Sale,PKR 34 lacs,Karachi,2021,"11,000 km",Petrol,660 cc,Automatic
19944,Suzuki Mehran  2013 VX Euro II for Sale,PKR 10.8 lacs,Rawalpindi,2013,"54,000 km",Petrol,796 cc,Manual
19945,Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 44 lacs,Islamabad,2020,"77,000 km",Petrol,1500 cc,Automatic
19946,Suzuki Cultus  2006 VXR (CNG) for Sale,PKR 9.8 lacs,Attock,2006,"77,000 km",Petrol,1000 cc,Manual
19947,Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 58.5 lacs,Lahore,2022,"69,000 km",Petrol,1600 cc,Automatic
19948,Honda Vezel  2015 Hybrid Z for Sale,PKR 61.5 lacs,Islamabad,2015,"127,724 km",Hybrid,1500 cc,Automatic
19949,Honda N Wgn  2022 Custom for Sale,PKR 37.49 lacs,Islamabad,2022,"47,807 km",Petrol,660 cc,Automatic
19950,Hyundai Elantra  2024 GLS for Sale,PKR 69.9 lacs,Karachi,2024,"11,000 km",Petrol,2000 cc,Automatic
19951,Toyota Vitz  2004 FL 1.0 for Sale,PKR 18.5 lacs,Lahore,2004,"195,000 km",Petrol,1000 cc,Automatic
19952,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
19953,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
19954,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
19955,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
19956,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
19957,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
19958,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
19959,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
19960,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
19961,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
19962,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
19963,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
19964,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
19965,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
19966,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
19967,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
